Alfa Romeo 159;49900;248.999;Sønder Felding;2008;https://www.biltorvet.dk/bil/alfa-romeo/159/sportwagon-2-4-jtd-20v-ti-210hk-stc-6g/1700138
Alfa Romeo Giulietta;179900;128.000;Taastrup;2017;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-4-m-air-170-super-tct/1707952
Alfa Romeo Stelvio;875545;25;Odense;2021;https://www.biltorvet.dk/bil/alfa-romeo/stelvio/2-0-tb-veloce-q4-280hk-5d-8g-aut/1718351
Alfa Romeo Giulietta;234900;76.000;Egå;2015;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-7-qv-tbi-turbo-tct-240hk-5d-6g-aut/1721225
Alfa Romeo Stelvio;514900;1.829;Nærum;2020;https://www.biltorvet.dk/bil/alfa-romeo/stelvio/2-0-tb-edizione-q4-200hk-5d-8g-aut/1725151
Alfa Romeo 4C;1234;1.234;Hedensted;2013;https://www.biltorvet.dk/bil/alfa-romeo/4c/spider-1-7-turbo-tct-240hk-cabr--6g-aut/1733414
Alfa Romeo Giulietta;134500;105.000;Næstved;2013;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-4-qv-m-air-sportivo-170hk-5d-6g/1758772
Alfa Romeo Giulietta;239900;35.000;Helsinge;2019;https://www.biltorvet.dk/bil/alfa-romeo/giulietta/1-4-multiair-edizione-tct-170hk-5d-6g-aut/1772695
Alfa Romeo Stelvio;499800;22.000;Viby;2019;https://www.biltorvet.dk/bil/alfa-romeo/stelvio/2-0-tb-edizione-q4-200hk-5d-8g-aut/1773148
Toyota Yaris;86900;64.000;Frederikssund;2017;https://www.biltorvet.dk/bil/toyota/yaris/1-0-vvt-i-t1-style-69hk-5d/1771708
Ford Tourneo Custom;389900;71.000;Frederikssund;2017;https://www.biltorvet.dk/bil/ford/tourneo-custom/300-l1h1-2-0-tdci-130hk-6g-aut/1582284
Toyota Yaris;159900;25.211;Frederikssund;2019;https://www.biltorvet.dk/bil/toyota/yaris/1-5-vvt-i-t3-smartpakke-111hk-5d-6g/1737433
Toyota Aygo;104900;6.000;Frederikssund;2020;https://www.biltorvet.dk/bil/toyota/aygo/1-0-vvt-i-x-press-72hk-5d/1742660
Toyota Aygo;104900;6.000;Frederikssund;2020;https://www.biltorvet.dk/bil/toyota/aygo/1-0-vvt-i-x-press-72hk-5d/1719293
Toyota Aygo;104900;6.000;Hillerød;2020;https://www.biltorvet.dk/bil/toyota/aygo/1-0-vvt-i-x-press-72hk-5d/1728301
Toyota Yaris;189900;6.000;Frederikssund;2020;https://www.biltorvet.dk/bil/toyota/yaris/1-5-vvt-i-t3-smart-125hk-5d-6g/1742657
Toyota Aygo;102900;8.500;Hillerød;2020;https://www.biltorvet.dk/bil/toyota/aygo/1-0-vvt-i-x-press-72hk-5d/1744254
Toyota Yaris;179900;6.000;Frederikssund;2020;https://www.biltorvet.dk/bil/toyota/yaris/1-5-vvt-i-t3-vision-125hk-5d-6g/1754415
Toyota Aygo;84900;38.000;Hillerød;2017;https://www.biltorvet.dk/bil/toyota/aygo/1-0-vvt-i-x-sky-69hk-5d/1759314
Toyota Avensis;129900;107.000;Helsinge;2014;https://www.biltorvet.dk/bil/toyota/avensis/1-8-vvt-i-t2-premium-147hk-6g/1763968
Toyota Yaris;149900;29.000;Helsinge;2019;https://www.biltorvet.dk/bil/toyota/yaris/1-5-vvt-i-t3-smartpakke-111hk-5d-6g/1768845
Toyota Yaris;164900;10.000;Helsinge;2020;https://www.biltorvet.dk/bil/toyota/yaris/1-5-vvt-i-t2-limited-111hk-5d-6g/1592708
Toyota C-HR;324900;10.000;Frederikssund;2020;https://www.biltorvet.dk/bil/toyota/c-hr/2-0-b-el-c-lub-premium-multidrive-s-184hk-5d-aut/1613914
Toyota Corolla;299900;9.000;Frederikssund;2020;https://www.biltorvet.dk/bil/toyota/corolla/touring-sports-1-8-b-el-h3-premiumpakke-e-cvt-122hk-stc-trinl--gear/1685814
Toyota RAV4;369900;15.000;Helsinge;2020;https://www.biltorvet.dk/bil/toyota/rav4/2-5-hybrid-h3-218hk-5d-6g-aut/1734068
